timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-03-16,15.49,15.49,14.85,15.19,15.19,3600,0.0000,1.0
2011-03-15,15.47,15.59,15.34,15.34,15.34,600,0.0000,1.0
2011-03-14,15.35,15.41,15.23,15.35,15.35,1800,0.0000,1.0
2011-03-11,15.3,15.52,15.3,15.4,15.4,4000,0.0000,1.0
2011-03-10,15.4,15.42,15.28,15.28,15.28,3100,0.0000,1.0
2011-03-09,15.28,15.42,15.28,15.42,15.42,1500,0.0000,1.0
2011-03-08,15.2,15.3,14.85,15.3,15.3,5100,0.0000,1.0
2011-03-07,15.35,15.4,15.21,15.4,15.4,2600,0.0000,1.0
2011-03-04,15.51,15.51,15.27,15.37,15.37,700,0.0000,1.0
2011-03-03,15.63,15.74,15.25,15.39,15.39,3500,0.0000,1.0
2011-03-02,15.53,15.77,15.39,15.62,15.62,3000,0.0000,1.0
2011-03-01,15.5,15.76,15.39,15.65,15.65,2600,0.0000,1.0
2011-02-28,15.5,15.74,15.5,15.535,15.535,3000,0.0000,1.0
2011-02-25,15.7,15.7,15.6,15.6,15.6,800,0.0000,1.0
2011-02-24,15.72,15.79,15.72,15.785,15.785,600,0.0000,1.0
2011-02-23,15.62,15.62,15.38,15.6,15.6,1800,0.0000,1.0
2011-02-22,15.72,15.7825,15.72,15.74,15.74,400,0.0000,1.0
2011-02-18,15.62,15.72,15.6,15.6,15.6,2400,0.0000,1.0
2011-02-17,15.95,15.95,15.55,15.75,15.75,6900,0.0000,1.0
2011-02-16,15.84,15.84,15.84,15.84,15.84,0,0.0000,1.0
2011-02-15,15.9499,15.9499,15.84,15.84,15.84,1500,0.0000,1.0
2011-02-14,15.95,16.04,15.85,15.96,15.96,4900,0.0000,1.0
2011-02-11,15.92,15.94,15.87,15.925,15.925,600,0.0000,1.0
2011-02-10,15.91,15.91,15.8001,15.81,15.81,1500,0.0000,1.0
2011-02-09,16.01,16.01,15.9,16.0,16.0,500,0.0000,1.0
2011-02-08,16.02,16.02,15.88,15.89,15.89,2500,0.0000,1.0
2011-02-07,15.86,16.04,15.86,16.0,16.0,6900,0.0000,1.0
2011-02-04,15.65,16.0,15.65,15.98,15.98,46700,0.0000,1.0
2011-02-03,15.7501,15.85,15.75,15.8499,15.8499,1300,0.0000,1.0
2011-02-02,15.65,15.75,15.65,15.75,15.75,1100,0.0000,1.0
2011-02-01,15.48,15.7,15.48,15.6501,15.6501,4400,0.0000,1.0
2011-01-31,15.4501,15.53,15.45,15.53,15.53,4000,0.0000,1.0
2011-01-28,15.7,15.7,15.5,15.5,15.5,200,0.0000,1.0
2011-01-27,15.45,15.65,15.25,15.6,15.6,8100,0.0000,1.0
2011-01-26,15.25,15.66,15.2,15.55,15.55,13600,0.0000,1.0
2011-01-25,15.28,15.325,15.1,15.28,15.28,6900,0.0000,1.0
2011-01-24,15.3,15.4,15.3,15.35,15.35,2200,0.0000,1.0
2011-01-21,15.43,15.43,15.23,15.25,15.25,3000,0.0000,1.0
2011-01-20,15.48,15.65,15.33,15.38,15.38,5200,0.0000,1.0
2011-01-19,15.91,15.95,15.21,15.48,15.48,20100,0.0000,1.0
2011-01-18,15.62,16.15,15.1,15.81,15.81,20500,0.0000,1.0
2011-01-14,15.14,15.61,15.0,15.4901,15.4901,21600,0.0000,1.0
2011-01-13,15.15,15.32,15.0,15.15,15.15,5200,0.0000,1.0
2011-01-12,15.23,15.23,15.03,15.07,15.07,5000,0.0000,1.0
2011-01-11,15.34,15.44,15.021,15.03,15.03,7200,0.0000,1.0
2011-01-10,15.0,15.4,14.9101,15.24,15.24,8300,0.0000,1.0
2011-01-07,15.13,15.13,15.05,15.1,15.1,1900,0.0000,1.0
2011-01-06,14.89,15.1,14.78,15.1,15.1,15500,0.0000,1.0
2011-01-05,15.07,15.07,14.7,14.79,14.79,13300,0.0000,1.0
2011-01-04,15.4001,15.4001,14.7,14.97,14.97,11900,0.0000,1.0
2011-01-03,15.65,15.84,14.75,15.5,15.5,38600,0.0000,1.0
2010-12-31,15.75,15.75,15.65,15.75,15.75,2500,0.0000,1.0
2010-12-30,14.3001,16.0,14.3001,15.51,15.51,27600,0.0000,1.0
2010-12-29,14.3,14.41,14.25,14.41,14.41,3600,0.0000,1.0
2010-12-28,13.57,14.35,12.98,14.3,14.3,6100,0.0000,1.0
2010-12-27,14.6,14.78,14.15,14.27,14.27,26700,0.0000,1.0
2010-12-23,14.24,14.58,14.1,14.5,14.5,19100,0.0000,1.0
2010-12-22,13.85,14.25,13.8,14.2,14.2,58000,0.0000,1.0
2010-12-21,13.73,13.87,13.73,13.73,13.73,10400,0.0000,1.0
2010-12-20,13.5,13.7,13.45,13.63,13.63,25700,0.0000,1.0
2010-12-17,13.45,13.5,13.1505,13.3,13.3,16700,0.0000,1.0
2010-12-16,13.35,13.49,13.35,13.35,13.35,8900,0.0000,1.0
2010-12-15,13.2015,13.6,13.1501,13.29,13.29,46100,0.0000,1.0
2010-12-14,13.0,13.5,13.0,13.25,13.25,42700,0.0000,1.0
2010-12-13,12.99,13.25,12.87,13.04,13.04,50900,0.0000,1.0
2010-12-10,12.96,13.05,12.6,12.94,12.94,129700,0.0000,1.0
2010-12-09,13.05,13.25,12.75,12.94,12.94,66700,0.0000,1.0
2010-12-08,13.0,13.51,12.45,13.0,13.0,679300,0.0000,1.0
