timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-08-23,13.68,13.76,13.34,13.5,13.5,20782,0.0000,1.0
2013-08-22,13.69,13.9,13.21,13.22,13.22,40984,0.0000,1.0
2013-08-21,13.44,13.81,13.15,13.81,13.81,6071,0.0000,1.0
2013-08-20,13.92,13.99,13.33,13.33,13.33,3360,0.0000,1.0
2013-08-19,13.4,13.899,13.4,13.76,13.76,5441,0.0000,1.0
2013-08-16,12.76,13.979,11.495,13.77,13.77,83809,0.0000,1.0
2013-08-15,14.25,14.25,13.75,13.96,13.96,13492,0.0000,1.0
2013-08-14,14.5,14.5,13.59,14.26,14.26,19075,0.0000,1.0
2013-08-13,14.63,14.7299,14.0101,14.27,14.27,44341,0.0000,1.0
2013-08-12,14.37,14.79,13.7101,14.48,14.48,59936,0.0000,1.0
2013-08-09,14.4,15.05,14.25,14.42,14.42,52830,0.0000,1.0
2013-08-08,13.41,14.35,13.03,14.34,14.34,63829,0.0000,1.0
2013-08-07,12.65,13.1899,11.6,12.99,12.99,59138,0.0000,1.0
2013-08-06,15.34,15.83,12.65,13.15,13.15,115960,0.0000,1.0
2013-08-05,14.7,15.17,14.02,14.61,14.61,147226,0.0000,1.0
2013-08-02,12.11,14.45,12.1,14.0,14.0,141533,0.0000,1.0
2013-08-01,11.0,12.3799,11.0,12.0,12.0,142810,0.0000,1.0
2013-07-31,10.199,10.5,10.0,10.35,10.35,19305,0.0000,1.0
2013-07-30,9.97,10.04,9.901,10.04,10.04,23295,0.0000,1.0
2013-07-29,10.1,10.2,9.57,9.99,9.99,15981,0.0000,1.0
2013-07-26,10.106,10.3,10.0,10.15,10.15,21100,0.0000,1.0
2013-07-25,10.2,10.35,10.2,10.2,10.2,8508,0.0000,1.0
2013-07-24,10.15,10.5,10.13,10.2,10.2,61280,0.0000,1.0
2013-07-23,10.16,10.21,9.95,10.01,10.01,69419,0.0000,1.0
2013-07-22,9.95,10.1,9.92,10.01,10.01,41530,0.0000,1.0
2013-07-19,9.9,10.0,9.75,9.97,9.97,30545,0.0000,1.0
2013-07-18,10.0,10.01,9.6,9.89,9.89,69981,0.0000,1.0
2013-07-17,10.23,10.23,9.75,10.0,10.0,51741,0.0000,1.0
2013-07-16,10.22,10.8999,10.01,10.01,10.01,53596,0.0000,1.0
2013-07-15,11.39,11.45,9.7701,10.25,10.25,122231,0.0000,1.0
2013-07-12,9.51,11.28,9.5,10.69,10.69,265524,0.0000,1.0
2013-07-11,9.665,9.71,8.9,9.6,9.6,122081,0.0000,1.0
2013-07-10,8.5,9.51,8.35,9.06,9.06,119800,0.0000,1.0
2013-07-09,8.15,8.41,7.87,8.33,8.33,124334,0.0000,1.0
2013-07-08,7.16,8.1599,7.02,7.9,7.9,101026,0.0000,1.0
2013-07-05,7.05,7.05,6.83,6.84,6.84,6257,0.0000,1.0
2013-07-03,7.17,7.18,6.88,6.9201,6.9201,3067,0.0000,1.0
2013-07-02,6.8001,7.1,6.8001,6.95,6.95,10825,0.0000,1.0
2013-07-01,6.8999,6.93,6.83,6.93,6.93,1700,0.0000,1.0
2013-06-28,6.83,6.9899,6.7,6.85,6.85,9100,0.0000,1.0
2013-06-27,6.78,6.9899,6.77,6.77,6.77,11658,0.0000,1.0
2013-06-26,6.79,6.91,6.75,6.77,6.77,13688,0.0000,1.0
2013-06-25,7.365,7.3699,6.71,6.76,6.76,23359,0.0000,1.0
2013-06-24,6.76,7.19,6.5,6.64,6.64,26908,0.0000,1.0
2013-06-21,7.06,7.06,6.7601,6.91,6.91,7302,0.0000,1.0
2013-06-20,6.96,7.12,6.95,7.1,7.1,2712,0.0000,1.0
2013-06-19,7.01,7.3899,6.87,7.08,7.08,22661,0.0000,1.0
2013-06-18,7.1668,7.1668,6.7,7.0,7.0,29326,0.0000,1.0
2013-06-17,7.0,7.1599,6.93,6.95,6.95,18826,0.0000,1.0
2013-06-14,7.22,7.22,6.96,7.1,7.1,10377,0.0000,1.0
2013-06-13,6.8201,7.12,6.82,6.93,6.93,16959,0.0000,1.0
2013-06-12,6.89,7.08,6.82,6.85,6.85,8655,0.0000,1.0
2013-06-11,6.9001,7.0904,6.9,7.0,7.0,7609,0.0000,1.0
2013-06-10,7.2,7.2,7.0301,7.0301,7.0301,3420,0.0000,1.0
2013-06-07,7.0209,7.22,7.0209,7.22,7.22,12168,0.0000,1.0
2013-06-06,6.97,7.15,6.96,7.0,7.0,11675,0.0000,1.0
2013-06-05,6.9799,7.13,6.6,7.13,7.13,28582,0.0000,1.0
2013-06-04,7.05,7.05,6.67,6.84,6.84,24503,0.0000,1.0
2013-06-03,7.1,7.14,6.87,6.88,6.88,12281,0.0000,1.0
2013-05-31,7.71,7.71,6.98,7.2,7.2,23689,0.0000,1.0
2013-05-30,6.95,7.17,6.82,7.17,7.17,22393,0.0000,1.0
2013-05-29,7.09,7.09,6.83,6.85,6.85,64932,0.0000,1.0
2013-05-28,7.9,7.9,6.81,6.97,6.97,63881,0.0000,1.0
2013-05-24,7.2,7.4,6.85,7.25,7.25,85925,0.0000,1.0
2013-05-23,7.25,7.5,7.16,7.21,7.21,164789,0.0000,1.0
2013-05-22,8.25,8.3,7.16,7.55,7.55,1569340,0.0000,1.0
